model,threshold,precision_mean,precision_var,recall_mean,recall_var,f1_mean,f1_var,pos_acc_mean,neg_acc_mean,mcc
all-mpnet-base-v2,0.6299999999999997,0.4109537299338999,0.0,0.6066350710900474,0.0,0.48997973429407793,0.0,0.6066350710900474,0.9989187870031195,0.498556162916991
all-mpnet-base-v2,0.6399999999999997,0.4379303150427707,0.0,0.585168664622247,0.0,0.5009546539379475,0.0,0.585168664622247,0.9990661148401424,0.5055221405262712
all-mpnet-base-v2,0.6499999999999997,0.4686994686994687,0.0,0.5656537496515194,0.0,0.5126326427488631,0.0,0.5656537496515194,0.9992026964114059,0.5142399890327297
all-mpnet-base-v2,0.6599999999999997,0.4993643529112637,0.0,0.5475327571787009,0.0,0.5223404255319148,0.0,0.5475327571787009,0.9993174387974166,0.5222736725415019
all-mpnet-base-v2,0.6699999999999997,0.526857779014751,0.0,0.5277390577083915,0.0,0.5272980501392758,0.0,0.5277390577083915,0.9994106886519087,0.5267099629156561
all-mpnet-base-v2,0.6799999999999997,0.5569852941176471,0.0,0.5068302202397547,0.0,0.5307254415413808,0.0,0.5068302202397547,0.9994987387003882,0.5307610785837903
all-mpnet-base-v2,0.6899999999999997,0.586862287429143,0.0,0.49066071926400895,0.0,0.5344670513209839,0.0,0.49066071926400895,0.9995704960233617,0.5360856222530719
all-mpnet-base-v2,0.6999999999999996,0.614028644876974,0.0,0.46612768330080845,0.0,0.5299524564183835,0.0,0.46612768330080845,0.9996356669253859,0.5344931600341774
all-mpnet-base-v2,0.7099999999999996,0.6422240128928284,0.0,0.44438249233342625,0.0,0.5252924699291481,0.0,0.44438249233342625,0.9996921714840559,0.533749686086519
all-mpnet-base-v2,0.7199999999999996,0.6725742135578201,0.0,0.4231948703652077,0.0,0.5195071868583162,0.0,0.4231948703652077,0.9997438228904474,0.533061399765909
