model,n_components,min_cluster_size,min_samples,f1,precision,recall,pos_acc,neg_acc,n_clusters,n_noise
BERT Base,5,3,8,0.026316796083081514,0.013625786007822945,0.3836074714245888,0.3836074714245888,0.9654701681929253,135,1204
BERT Base,5,3,9,0.02527016437216412,0.013089320076972418,0.3640925564538612,0.3640925564538612,0.9658650067961465,122,1345
BERT Base,5,3,10,0.0238082186774836,0.012307430741185028,0.3632562029551157,0.3632562029551157,0.9637511123251695,116,1405
BERT Base,5,3,11,0.023929849482339442,0.012368921437581188,0.3663228324505158,0.3663228324505158,0.9636290902107412,105,1406
BERT Base,5,4,2,0.2273649271620874,0.16985810717729716,0.3437412879843881,0.3437412879843881,0.9979110645978834,417,818
BERT Base,5,4,3,0.22012578616352202,0.16028495102404275,0.3512684694730973,0.3512684694730973,0.9977117387007348,361,972
BERT Base,5,4,4,0.21540323277724954,0.15610122776246554,0.34736548647895177,0.34736548647895177,0.9976649404466217,318,1151
BERT Base,5,4,5,0.14960814130307637,0.09466360743098216,0.35656537496515195,0.35656537496515195,0.995759731523616,237,1250
BERT Base,5,4,6,0.1313343944139241,0.08049087476400252,0.35656537496515195,0.35656537496515195,0.9949350422900223,191,1351
BERT Base,5,4,7,0.1710111907793339,0.11256175017642908,0.35572902146640645,0.35572902146640645,0.9965126634342362,168,1505
BERT Base,5,4,8,0.02620162118963352,0.013563696181085686,0.38388625592417064,0.38388625592417064,0.9652847084451436,132,1212
BERT Base,5,4,9,0.023917016016338815,0.012355505372562449,0.37217730694173407,0.37217730694173407,0.9630071934116378,115,1327
BERT Base,5,4,10,0.023971951186366972,0.012388568432092292,0.36883189294675217,0.36883189294675217,0.9634387773106812,107,1360
BERT Base,5,4,11,0.02438360143796071,0.012602163856280907,0.3744075829383886,0.3744075829383886,0.9635230141680847,98,1388
BERT Base,5,5,2,0.21294845360824743,0.15120637151557742,0.35991078896013384,0.35991078896013384,0.9974878003884602,340,865
BERT Base,5,5,3,0.20718299535792817,0.14634146341463414,0.35461388346807915,0.35461388346807915,0.9974278292924486,299,1034
BERT Base,5,5,4,0.1970358814352574,0.13679194194736272,0.35210482297184276,0.35210482297184276,0.9972371697386543,262,1192
BERT Base,5,5,5,0.14107290233837688,0.08788044968467233,0.3574017284638974,0.3574017284638974,0.9953874254131159,221,1236
BERT Base,5,5,6,0.1316662413881092,0.08058470764617691,0.359632004460552,0.359632004460552,0.994897950340466,184,1346
BERT Base,5,5,7,0.17168575021510357,0.11256726262801597,0.36158349595762473,0.36158349595762473,0.9964554655680978,165,1484
BERT Base,5,5,8,0.0264643846888685,0.013696886626199334,0.3900195149149707,0.3900195149149707,0.9650777561658433,128,1185
BERT Base,5,5,9,0.02406553561036752,0.012432012432012432,0.37468636743797046,0.37468636743797046,0.9629898607249292,114,1319
BERT Base,5,5,10,0.024344062753583987,0.012578850758923996,0.3763590744354614,0.3763590744354614,0.9632640638286588,103,1343
BERT Base,5,5,11,0.023575093606989322,0.012165776596981814,0.3791469194312796,0.3791469194312796,0.9617193747891912,96,1367
BERT Base,5,6,2,0.2041904761904762,0.14049066890333403,0.37357122943964316,0.37357122943964316,0.9971581326872632,268,958
BERT Base,5,6,3,0.201193139448173,0.13733075435203096,0.37608028993587955,0.37608028993587955,0.9970624562566319,240,1096
BERT Base,5,6,4,0.14185575575055817,0.08716181725370087,0.38081962642877054,0.38081962642877054,0.9950407716789446,207,1117
BERT Base,5,6,5,0.14514740692920164,0.08992733817745484,0.37608028993587955,0.37608028993587955,0.9952674832210926,200,1232
BERT Base,5,6,6,0.12936802973977696,0.07867132867132867,0.36381377195427933,0.36381377195427933,0.9947020909806591,178,1316
BERT Base,5,6,7,0.17009406422315926,0.11083868785931687,0.3654864789517703,0.3654864789517703,0.9963542426777199,157,1480
BERT Base,5,6,8,0.026484933267798404,0.013707207780136779,0.39057708391413437,0.39057708391413437,0.9650545303656538,124,1192
BERT Base,5,6,9,0.024553056260763043,0.012680279094501545,0.38555896292166153,0.38555896292166153,0.9626709392894915,107,1283
BERT Base,5,6,10,0.024573427957221367,0.012696347244167674,0.38081962642877054,0.38081962642877054,0.9631770537413817,101,1331
BERT Base,5,6,11,0.02360030128044188,0.012178341672623303,0.3799832729300251,0.3799832729300251,0.9616750031112172,94,1365
BERT Base,5,7,2,0.197983241016901,0.132825154835636,0.3886255924170616,0.3886255924170616,0.9968451043653065,227,1020
BERT Base,5,7,3,0.18854319668847644,0.1239575103151611,0.3936437134095344,0.3936437134095344,0.996540742386704,201,1076
BERT Base,5,7,4,0.18068495791299877,0.11740146960587843,0.39197100641204347,0.39197100641204347,0.9963358700298087,184,1180
BERT Base,5,7,5,0.1338497744655815,0.08120649651972157,0.38054084192918874,0.38054084192918874,0.9946462797294575,170,1214
BERT Base,5,7,6,0.12004419889502763,0.07133102216619393,0.378589350432116,0.378589350432116,0.9938711619798504,154,1256
BERT Base,5,7,7,0.1682568334192883,0.10943396226415095,0.36381377195427933,0.36381377195427933,0.9963185373431002,152,1485
BERT Base,5,7,8,0.026436264024916507,0.013678416449048141,0.39280735991078897,0.39280735991078897,0.9647799806081901,120,1165
BERT Base,5,7,9,0.024456208489620743,0.01262982433645339,0.3844438249233343,0.3844438249233343,0.9626283008801885,103,1288
BERT Base,5,7,10,0.02464640304223432,0.012732832916319155,0.38304990242542514,0.38304990242542514,0.9630688977763203,99,1320
BERT Base,5,7,11,0.02356914018529743,0.012162319151407915,0.37942570393086145,0.37942570393086145,0.9616802029172299,92,1377
BERT Base,5,8,2,0.182000375775036,0.11736672051696284,0.4050738778923892,0.4050738778923892,0.9962121146467096,191,1017
BERT Base,5,8,3,0.18180656701162642,0.11792491920112703,0.3967103429049345,0.3967103429049345,0.99631021765348,184,1121
BERT Base,5,8,4,0.17072150158407556,0.10865926038654695,0.3981042654028436,0.3981042654028436,0.9959392981579167,166,1185
