model,threshold,trial,precision,recall,f1,pos_acc,neg_acc,num_initial_seeds,model_name
SentenceTransformer,0.25,9,0.008960735890522691,0.6615556175076666,0.01768197042573088,0.6615556175076666,0.9090210741204615,10,all-mpnet-base-v2
SentenceTransformer,0.25,10,0.007930824651114316,0.6576526345135211,0.01567264827228818,0.6576526345135211,0.8977066428908426,10,all-mpnet-base-v2
SentenceTransformer,0.3,1,0.01390617548185974,0.6665737385001393,0.02724398233869819,0.6665737385001393,0.9412258993324489,10,all-mpnet-base-v2
SentenceTransformer,0.3,2,0.013294753851628448,0.6353498745469752,0.026044523678917537,0.6353498745469752,0.9413662940947883,10,all-mpnet-base-v2
SentenceTransformer,0.3,3,0.011364760907722517,0.6083077780875383,0.022312663612565446,0.6083077780875383,0.9341999214482638,10,all-mpnet-base-v2
SentenceTransformer,0.3,4,0.013412296478606589,0.6320044605519933,0.026267155627393388,0.6320044605519933,0.942193063250787,10,all-mpnet-base-v2
SentenceTransformer,0.3,5,0.013888973905378688,0.6325620295511569,0.027181139715131114,0.6325620295511569,0.9441547767324627,10,all-mpnet-base-v2
SentenceTransformer,0.3,6,0.012539018819127569,0.6596041260105938,0.024610199814851415,0.6596041260105938,0.9354097429805218,10,all-mpnet-base-v2
SentenceTransformer,0.3,7,0.012351582665398724,0.6336771675494842,0.02423085943329851,0.6336771675494842,0.9369949905068875,10,all-mpnet-base-v2
SentenceTransformer,0.3,8,0.013973976001215128,0.6155561750766657,0.027327578204771188,0.6155561750766657,0.9459913482161025,10,all-mpnet-base-v2
SentenceTransformer,0.3,9,0.01279093069193553,0.6228045720657931,0.025067043682184896,0.6228045720657931,0.9402296165004405,10,all-mpnet-base-v2
SentenceTransformer,0.3,10,0.010766778474266324,0.6138834680791748,0.021162393983806253,0.6138834680791748,0.9298664031173877,10,all-mpnet-base-v2
SentenceTransformer,0.35,1,0.02047444615654324,0.6186228045720658,0.03963703267063216,0.6186228045720658,0.9631992395803687,10,all-mpnet-base-v2
SentenceTransformer,0.35,2,0.01747849219807402,0.6264287705603568,0.0340080971659919,0.6264287705603568,0.9562138201830817,10,all-mpnet-base-v2
SentenceTransformer,0.35,3,0.021054207846660677,0.5879565096180652,0.040652678855402524,0.5879565096180652,0.9660067881734226,10,all-mpnet-base-v2
SentenceTransformer,0.35,4,0.017113385949831993,0.6105380540841929,0.03329355336470123,0.6105380540841929,0.9563978933159267,10,all-mpnet-base-v2
SentenceTransformer,0.35,5,0.021020416381427938,0.582102035126847,0.04057559828603076,0.582102035126847,0.9662900042742405,10,all-mpnet-base-v2
SentenceTransformer,0.35,6,0.02033243580107133,0.5957624756063563,0.039322844787928975,0.5957624756063563,0.964306451607312,10,all-mpnet-base-v2
SentenceTransformer,0.35,7,0.020269458032420036,0.6110956230833565,0.0392374474178824,0.6110956230833565,0.9632716902108105,10,all-mpnet-base-v2
SentenceTransformer,0.35,8,0.02008024668425159,0.6027320880959018,0.03886566895869849,0.6027320880959018,0.9634259511225168,10,all-mpnet-base-v2
SentenceTransformer,0.35,9,0.017252520534080735,0.6177864510733203,0.03356761997091614,0.6177864510733203,0.9562422457892837,10,all-mpnet-base-v2
SentenceTransformer,0.35,10,0.01618176118467211,0.6044047950933928,0.031519645258605025,0.6044047950933928,0.9543075712988734,10,all-mpnet-base-v2
SentenceTransformer,0.4,1,0.03694899137404062,0.6066350710900474,0.06965540421581651,0.6066350710900474,0.9803391868127374,10,all-mpnet-base-v2
SentenceTransformer,0.4,2,0.03719341275402943,0.5918594926122107,0.06998862643611849,0.5918594926122107,0.9809489507311447,10,all-mpnet-base-v2
SentenceTransformer,0.4,3,0.03537818932112123,0.5879565096180652,0.06674050632911392,0.5879565096180652,0.9800660236702102,10,all-mpnet-base-v2
SentenceTransformer,0.4,4,0.03620581927487039,0.5977139671034291,0.06827590599324884,0.5977139671034291,0.9802154314296382,10,all-mpnet-base-v2
SentenceTransformer,0.4,5,0.036275395433692896,0.570950655143574,0.06821664112983812,0.570950655143574,0.9811389169774706,10,all-mpnet-base-v2
SentenceTransformer,0.4,6,0.03831465486472982,0.5985503206021745,0.07201918722640592,0.5985503206021745,0.9813191769192398,10,all-mpnet-base-v2
SentenceTransformer,0.4,7,0.034475441145263706,0.5887928631168107,0.06513693560325684,0.5887928631168107,0.9794957782774983,10,all-mpnet-base-v2
SentenceTransformer,0.4,8,0.03264049968921029,0.6002230275996655,0.06191407373324898,0.6002230275996655,0.977880718529994,10,all-mpnet-base-v2
SentenceTransformer,0.4,9,0.034778341239980366,0.5926958461109563,0.06570143857100916,0.5926958461109563,0.9795460430689532,10,all-mpnet-base-v2
SentenceTransformer,0.4,10,0.033883927882909975,0.6124895455812657,0.06421535673574372,0.6124895455812657,0.9782849167840378,10,all-mpnet-base-v2
SentenceTransformer,0.45,1,0.06318201000783746,0.5843323111235015,0.11403389461657736,0.5843323111235015,0.9892266952494225,10,all-mpnet-base-v2
SentenceTransformer,0.45,2,0.050505050505050504,0.5812656816281014,0.09293514597726767,0.5812656816281014,0.9864118669279511,10,all-mpnet-base-v2
SentenceTransformer,0.45,3,0.057688602647730715,0.5843323111235015,0.10501002004008016,0.5843323111235015,0.9881316161031752,10,all-mpnet-base-v2
SentenceTransformer,0.45,4,0.05792374311101114,0.5742960691385559,0.10523358279482005,0.5742960691385559,0.9883857132903229,10,all-mpnet-base-v2
SentenceTransformer,0.45,5,0.05949482207293103,0.5653749651519375,0.10766045548654245,0.5653749651519375,0.9888866279362004,10,all-mpnet-base-v2
SentenceTransformer,0.45,6,0.055662738554593805,0.5952049066071926,0.1018048303650192,0.5952049066071926,0.9874438550945793,10,all-mpnet-base-v2
SentenceTransformer,0.45,7,0.0584243721139768,0.5784778366322832,0.10612996445285527,0.5784778366322832,0.9884075524755757,10,all-mpnet-base-v2
SentenceTransformer,0.45,8,0.05967025089605735,0.5801505436297741,0.10821070147158234,0.5801505436297741,0.9886318374415846,10,all-mpnet-base-v2
SentenceTransformer,0.45,9,0.053442906121594386,0.5692779481460831,0.09771269977988324,0.5692779481460831,0.9874625743962245,10,all-mpnet-base-v2
SentenceTransformer,0.45,10,0.05159064966003275,0.5795929746306105,0.09474763586646918,0.5795929746306105,0.9867512409337049,10,all-mpnet-base-v2
SentenceTransformer,0.5,1,0.08765359367109914,0.5807081126289378,0.15231618587985815,0.5807081126289378,0.9924842003894309,10,all-mpnet-base-v2
SentenceTransformer,0.5,2,0.08668730650154799,0.5776414831335378,0.15075120957473898,0.5776414831335378,0.9924325489830392,10,all-mpnet-base-v2
SentenceTransformer,0.5,3,0.08612022765983963,0.5779202676331195,0.14990237905850026,0.5779202676331195,0.9923743111556985,10,all-mpnet-base-v2
SentenceTransformer,0.5,4,0.08612870100975527,0.5611931976582102,0.1493378834526503,0.5611931976582102,0.992595822891834,10,all-mpnet-base-v2
